steam_id,comp_main,comp_plus,comp_100
1326470,59662,92914,189369
288160,9235,9338,9544
475550,21907,37759,77068
2201320,65269,174782,405895
427290,60926,106121,150087
476600,25297,34146,66345
80,13699,46451,406601
493540,18090,20006,23437
2221490,93562,173555,351593
1173790,58164,66458,67430
2881650,20448,40770,71010
242640,61118,81703,150189
100,22114,26076,29411
2694490,134632,248974,484205
1238080,39135,71455,132866
1238860,22508,32512,62481
1158310,276128,594487,2108827
607080,54345,70670,95331
1265930,35859,41945,46584
35709,22128,30281,53328
359320,409083,913582,2436404
999220,31380,38381,52292
368230,28671,48809,89427
544610,69039,103150,163846
355790,43926,60436,107268
244210,144739,251637,1050360
590380,20573,71956,190308
238090,32886,51396,111823
504390,8861,16189,32499
1353230,36479,48766,85012
589500,24011,34191,66519
2305840,21525,29398,36076
297130,11317,14505,26398
764790,43331,51914,57926
246620,13040,52461,196082
32440,47486,83931,145631
1361210,101969,230386,685659
1173800,72329,84427,94692
232790,37054,41621,48550
1229490,22034,52958,165587
427520,180362,333006,783257
413420,121040,149960,218554
1989270,11772,20587,63032
44350,63842,77925,106232
594650,232638,1210549,2079363
1920490,63881,132573,220330
346010,21871,50710,60825
383270,16785,20108,24379
310560,103364,235886,551919
29900,28815,34277,41813
257350,166366,288697,550075
213610,32740,57299,171961
1238810,22493,35425,130273
2292260,30023,36567,44301
2427420,46703,80763,132850
368260,145704,235278,349440
203770,241406,886374,1517270
226840,95007,266562,523195
274190,25966,36208,63364
893180,47579,62325,230381
813230,25269,40802,63714
1004640,131515,166579,222171
1703340,7635,18849,45730
952070,3360,97830,238856
280,40078,47094,50817
1097150,35685,113554,352525
257850,27883,42203,98325
236090,36482,48685,66310
1582650,23899,32585,36692
1194630,18260,23018,86899
71250,32723,52014,122609
731040,23758,28522,42276
621060,84473,214578,340177
1608450,35351,45861,81060
1238000,65918,226063,339154
1282730,102831,133666,198190
1281590,21700,25857,73485
882100,76737,98492,232086
6030,45653,59420,64608
491950,16422,22261,34623
601430,48054,66641,101590
445980,31214,58487,95064
798460,158705,202024,330845
410110,16249,21215,23197
2620,24717,31693,35537
21110,15773,18629,21459
1262350,33056,39625,49509
1971650,215840,298667,342487
3050900,44087,56019,105619
2536520,79012,154399,394401
674940,6303,12389,29807
113020,29952,55729,124834
383150,56582,87988,186081
228300,35818,42881,65558
228200,69595,101198,279180
32430,29003,39676,60017
1150440,92286,118283,180411
1071870,10349,17534,37759
1627570,30221,33392,37772
2521380,63786,80780,95025
829110,37312,65919,151007
1586800,11399,14831,18362
837470,10866,14690,22219
1684350,57597,93579,147942
3375780,142796,204035,270057
325610,174219,607200,1837004
606880,83687,148435,186412
2356560,124185,177539,321920
248820,16660,78017,179384
252490,107868,380807,420034
223470,25204,44649,114877
388880,16014,20396,46983
3445830,4112,8125,13275
57690,145546,222319,390834
578650,47988,95965,146220
2054970,111511,201751,336991
1904480,29793,53449,90059
496300,38521,97016,132109
1144200,57692,100185,218866
41500,51150,76795,174562
1277400,148444,218740,513365
6850,49425,54638,67736
316790,39380,41445,43323
19900,60799,93330,147752
1238060,45749,58869,88533
1637320,16051,46275,118955
9050,39333,46986,59962
719040,129564,178490,271039
578080,345792,929938,1961991
740130,148206,203422,265559
1154810,34272,49711,92345
292140,100309,150035,256471
65930,37941,51646,63418
70300,8649,12418,17437
20,57429,73800,0
2300,25149,35354,50091
208480,59011,112264,199909
245170,11633,56884,249230
384110,105296,151065,289586
1283400,54555,79747,107978
1173810,110296,128775,187690
990630,18836,21632,23357
237990,38545,49682,109704
7940,24807,33646,58552
239820,31022,54058,93424
55100,14985,19843,34720
1971870,25264,55473,224659
874260,21692,30541,38038
1336490,126907,371323,938314
678950,43435,79126,180796
2097570,8201,41927,210149
46500,34785,40995,43583
1501750,102802,156237,338030
1629520,13425,19540,43313
794260,119755,188815,351668
710920,51221,73386,112848
1716740,85739,268733,533842
1244460,21410,128516,384694
667720,39773,65890,155197
310950,12018,86696,461966
1601570,69997,89164,179325
8000,44338,54788,74154
1466640,26732,30408,33936
517630,57988,100785,197619
40700,18391,19261,21581
2057760,0,66835,0
2552450,103877,144289,232297
1245430,29673,0,247700
675260,36016,38751,39263
448510,28093,37006,43588
294100,228027,404710,1082012
45740,51673,64103,183232
1790930,41147,46069,55524
202170,55083,80682,124216
1608070,49509,75698,167218
6880,30134,70130,110831
736260,27058,76454,164580
21120,18066,22104,25431
1307580,11946,15845,21957
466300,112636,150262,227691
1160220,41663,51076,54990
35130,22775,29423,59350
219890,21376,26318,31956
557340,14729,18557,32550
1868180,170588,183847,269310
1744330,43533,59271,102305
1875830,161559,248991,408966
2310,19298,27756,62633
1020470,75137,91586,114421
2084000,34979,71449,204938
1123050,44862,66617,105042
1164940,19068,29824,70445
648800,91590,131146,250069
535930,137639,263628,445897
341800,18752,22451,48201
3061810,61776,117277,157586
690790,47690,171406,476556
690640,36845,46148,56021
607050,72056,137296,303689
21130,43439,62495,98686
